"Lotsize_(1,_1,_1)":0.0
"Lotsize_(1,_1,_2)":309.0
"Lotsize_(1,_1,_3)":481.0
"Lotsize_(1,_1,_4)":560.0
"Lotsize_(1,_1,_5)":298.0
"Lotsize_(1,_1,_6)":0.0
"Lotsize_(1,_2,_1)":0.0
"Lotsize_(1,_2,_2)":0.0
"Lotsize_(1,_2,_3)":24.0
"Lotsize_(1,_2,_4)":60.0
"Lotsize_(1,_2,_5)":16.0
"Lotsize_(1,_2,_6)":0.0
"Lotsize_(1,_3,_1)":0.0
"Lotsize_(1,_3,_2)":0.0
"Lotsize_(1,_3,_3)":191.0
"Lotsize_(1,_3,_4)":251.0
"Lotsize_(1,_3,_5)":251.0
"Lotsize_(1,_3,_6)":126.0
"Lotsize_(1,_4,_1)":0.0
"Lotsize_(1,_4,_2)":0.0
"Lotsize_(1,_4,_3)":0.0
"Lotsize_(1,_4,_4)":0.0
"Lotsize_(1,_4,_5)":0.0
"Lotsize_(1,_4,_6)":0.0
"Lotsize_(2,_5,_1)":0.0
"Lotsize_(2,_5,_2)":80.0
"Lotsize_(2,_5,_3)":116.0
"Lotsize_(2,_5,_4)":131.0
"Lotsize_(2,_5,_5)":76.0
"Lotsize_(2,_5,_6)":0.0
"Lotsize_(2,_6,_1)":0.0
"Lotsize_(2,_6,_2)":0.0
"Lotsize_(2,_6,_3)":91.0
"Lotsize_(2,_6,_4)":139.0
"Lotsize_(2,_6,_5)":78.0
"Lotsize_(2,_6,_6)":0.0
"Lotsize_(2,_7,_1)":0.0
"Lotsize_(2,_7,_2)":0.0
"Lotsize_(2,_7,_3)":88.0
"Lotsize_(2,_7,_4)":123.0
"Lotsize_(2,_7,_5)":115.0
"Lotsize_(2,_7,_6)":57.0
"Lotsize_(2,_8,_1)":0.0
"Lotsize_(2,_8,_2)":0.0
"Lotsize_(2,_8,_3)":0.0
"Lotsize_(2,_8,_4)":14.0
"Lotsize_(2,_8,_5)":26.0
"Lotsize_(2,_8,_6)":13.0
"Lotsize_(6,_9,_1)":53.0
"Lotsize_(6,_9,_2)":123.0
"Lotsize_(6,_9,_3)":120.0
"Lotsize_(6,_9,_4)":155.0
"Lotsize_(6,_9,_5)":81.0
"Lotsize_(6,_9,_6)":0.0
"Lotsize_(6,_10,_1)":0.0
"Lotsize_(6,_10,_2)":1.0
"Lotsize_(6,_10,_3)":120.0
"Lotsize_(6,_10,_4)":130.0
"Lotsize_(6,_10,_5)":78.0
"Lotsize_(6,_10,_6)":0.0
"Lotsize_(6,_11,_1)":0.0
"Lotsize_(6,_11,_2)":83.0
"Lotsize_(6,_11,_3)":107.0
"Lotsize_(6,_11,_4)":127.0
"Lotsize_(6,_11,_5)":68.0
"Lotsize_(6,_11,_6)":0.0
"Lotsize_(7,_12,_1)":33.0
"Lotsize_(7,_12,_2)":116.0
"Lotsize_(7,_12,_3)":85.0
"Lotsize_(7,_12,_4)":99.0
"Lotsize_(7,_12,_5)":53.0
"Lotsize_(7,_12,_6)":0.0
"Lotsize_(7,_13,_1)":0.0
"Lotsize_(7,_13,_2)":0.0
"Lotsize_(7,_13,_3)":0.0
"Lotsize_(7,_13,_4)":24.0
"Lotsize_(7,_13,_5)":24.0
"Lotsize_(7,_13,_6)":0.0
"Lotsize_(4,_14,_1)":0.0
"Lotsize_(4,_14,_2)":97.0
"Lotsize_(4,_14,_3)":131.0
"Lotsize_(4,_14,_4)":133.0
"Lotsize_(4,_14,_5)":76.0
"Lotsize_(4,_14,_6)":0.0
"Lotsize_(4,_15,_1)":0.0
"Lotsize_(4,_15,_2)":73.0
"Lotsize_(4,_15,_3)":75.0
"Lotsize_(4,_15,_4)":150.0
"Lotsize_(4,_15,_5)":81.0
"Lotsize_(4,_15,_6)":0.0
"Lotsize_(4,_16,_1)":0.0
"Lotsize_(4,_16,_2)":0.0
"Lotsize_(4,_16,_3)":117.0
"Lotsize_(4,_16,_4)":142.0
"Lotsize_(4,_16,_5)":81.0
"Lotsize_(4,_16,_6)":0.0
"Lotsize_(4,_17,_1)":6.0
"Lotsize_(4,_17,_2)":150.0
"Lotsize_(4,_17,_3)":127.0
"Lotsize_(4,_17,_4)":144.0
"Lotsize_(4,_17,_5)":86.0
"Lotsize_(4,_17,_6)":0.0
"Lotsize_(5,_18,_1)":43.0
"Lotsize_(5,_18,_2)":132.0
"Lotsize_(5,_18,_3)":138.0
"Lotsize_(5,_18,_4)":152.0
"Lotsize_(5,_18,_5)":92.0
"Lotsize_(5,_18,_6)":0.0
"Lotsize_(5,_19,_1)":0.0
"Lotsize_(5,_19,_2)":101.0
"Lotsize_(5,_19,_3)":143.0
"Lotsize_(5,_19,_4)":159.0
"Lotsize_(5,_19,_5)":84.0
"Lotsize_(5,_19,_6)":0.0
"Lotsize_(5,_20,_1)":0.0
"Lotsize_(5,_20,_2)":58.0
"Lotsize_(5,_20,_3)":120.0
"Lotsize_(5,_20,_4)":159.0
"Lotsize_(5,_20,_5)":88.0
"Lotsize_(5,_20,_6)":0.0
"Lotsize_(3,_21,_1)":0.0
"Lotsize_(3,_21,_2)":108.0
"Lotsize_(3,_21,_3)":124.0
"Lotsize_(3,_21,_4)":143.0
"Lotsize_(3,_21,_5)":79.0
"Lotsize_(3,_21,_6)":0.0
"Lotsize_(3,_22,_1)":0.0
"Lotsize_(3,_22,_2)":25.0
"Lotsize_(3,_22,_3)":113.0
"Lotsize_(3,_22,_4)":135.0
"Lotsize_(3,_22,_5)":77.0
"Lotsize_(3,_22,_6)":0.0
